dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
fashion_mnist,torchvision:fashion_mnist,softmax,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.620066000003135,0.5191704034805298,,0.9998269975185394,34.54443359375,0.7915,0.7884733005420488,0.6114543619610014,0.1048467000073287,0.9997660148711432,8.249523200007388
fashion_mnist,torchvision:fashion_mnist,softmax,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.488912799977697,0.545933187007904,,0.9997945427894592,34.54443359375,0.7795,0.7570840121819412,0.6178462675639561,0.1065416000201366,0.9998279753185454,8.047863200015854
fashion_mnist,torchvision:fashion_mnist,sparsemax,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,10.745987500005867,0.301105260848999,,0.5046226382255554,38.18017578125,0.802,0.802818057911326,0.5688944388003576,0.1463338000176008,0.5098448842763901,12.581884900020668
fashion_mnist,torchvision:fashion_mnist,sparsemax,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.166301699995529,0.3062606751918793,,0.5307039469480515,38.18017578125,0.7995,0.7972811696281671,0.5611985950242906,0.1378457999962847,0.534381893419084,9.740057599992724
fashion_mnist,torchvision:fashion_mnist,sparsemax,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,11.678705900005298,0.4408786296844482,,0.4753406196832657,38.18017578125,0.8,0.8002696212127978,0.5627349799587613,0.1794327000097837,0.4757143358389537,13.338199899997562
fashion_mnist,torchvision:fashion_mnist,sparsemax,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,9.529254299995957,0.5841967463493347,,0.460564449429512,38.18017578125,0.8105,0.81146428741338,0.5269939828486669,0.1523474999994505,0.4672788814419791,11.391274800000248
fashion_mnist,torchvision:fashion_mnist,sparsemax,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,10.611246799991932,0.4651314318180084,,0.4930038899183273,38.18017578125,0.8085,0.8104954050260581,0.5424750206016359,0.1596428000193555,0.4993761217310315,12.804552099987632
fashion_mnist,torchvision:fashion_mnist,sparsemax,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,9.141330499987816,0.367991030216217,,0.4863051623106003,38.18017578125,0.81,0.8024817087605127,0.5429807972340357,0.1471429000084754,0.4995342883325758,10.915233000006992
fashion_mnist,torchvision:fashion_mnist,sparsemax,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.7414151999983005,0.4950925409793854,,0.4458207339048385,38.18017578125,0.792,0.7907185018172838,0.5518945072378431,0.1262469999783206,0.434066765719936,9.301361599995287
fashion_mnist,torchvision:fashion_mnist,sparsemax,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.55202930001542,0.6427860856056213,,0.4771680384874344,38.18017578125,0.7925,0.7896276216852727,0.5377716762678963,0.1240527000045403,0.4806050558884938,8.997140000021318
fashion_mnist,torchvision:fashion_mnist,sparsemax,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,11.537366399978056,0.5210224986076355,,0.4887705594301224,38.18017578125,0.808,0.810389007611319,0.5558300486632756,0.1754963000130374,0.4954446454842885,13.07181630001287
fashion_mnist,torchvision:fashion_mnist,sparsemax,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.686794799985364,0.546586811542511,,0.5031628608703613,38.18017578125,0.8035,0.7972174939865403,0.5664283477124714,0.1315967999980785,0.5049939893540882,10.822006600006716
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.39984800000093,0.3101629316806793,,0.1764705926179886,34.84326171875,0.803,0.8078404523045368,0.5499021850881123,0.1281377999985125,0.1764705784264065,10.317074599995976
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,12.17754479998257,0.3976292312145233,,0.1764705926179886,34.84326171875,0.807,0.8045858530031463,0.5592966647375197,0.1627182999800425,0.1764705784264065,13.73647129998426
